year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate,sale_date,sale_month
2012,FORD,MUSTANG,V6,Convertible,automatic,1zvbp8em4c5286986,ca,32,65201,white,black,the hertz corporation,10450,10700,Wed Dec 17 2014 12:30:00 GMT-0800 (PST),2014-12-17,12
2012,FORD,MUSTANG,V6,Convertible,,1zvbp8emxc5273367,ca,37,48023,blue,gray,dtg operations inc,11600,11800,Thu Dec 18 2014 11:30:00 GMT-0800 (PST),2014-12-18,12
2012,FORD,MUSTANG,V6,Convertible,automatic,1zvbp8em5c5273356,ca,42,46700,red,black,dtg operations inc,11700,11500,Thu Dec 18 2014 11:30:00 GMT-0800 (PST),2014-12-18,12
2012,FORD,MUSTANG,V6,Convertible,automatic,1zvbp8em4c5286471,ca,25,63964,white,—,the hertz corporation,10550,9000,Tue Dec 16 2014 12:30:00 GMT-0800 (PST),2014-12-16,12
2012,FORD,MUSTANG,V6,Convertible,automatic,1zvbp8em9c5273358,ca,37,49668,red,black,dtg operations inc,11500,11200,Thu Dec 18 2014 11:30:00 GMT-0800 (PST),2014-12-18,12
2012,FORD,MUSTANG,V6,Convertible,automatic,1zvbp8em3c5273324,ca,33,47558,black,black,dtg operations inc,11650,11400,Thu Dec 18 2014 11:30:00 GMT-0800 (PST),2014-12-18,12
2012,FORD,MUSTANG,GT,Convertible,,1zvbp8ff1c5262211,ca,,33956,gray,—,trade in solutions irvine,23000,21000,Tue Dec 16 2014 12:30:00 GMT-0800 (PST),2014-12-16,12
2011,FORD,MUSTANG,V6,Convertible,automatic,1zvbp8emxb5134256,ca,32,51850,gray,black,fiserv/usb dealer services northstar exchange,12200,12750,Tue Dec 16 2014 12:30:00 GMT-0800 (PST),2014-12-16,12
2010,FORD,MUSTANG,V6,Convertible,automatic,1zvbp8en2a5151768,ca,34,56296,red,tan,high bid trading co inc,10750,11400,Wed Dec 17 2014 12:15:00 GMT-0800 (PST),2014-12-17,12
2014,FORD,MUSTANG,V6,Convertible,automatic,1zvbp8em5e5219994,ca,47,67486,red,black,dtg operations inc,14950,13700,Wed Dec 17 2014 12:30:00 GMT-0800 (PST),2014-12-17,12
2014,FORD,MUSTANG,V6,Convertible,automatic,1zvbp8em5e5231711,ca,2,43660,white,black,hertz/tra,17200,8500,Tue Dec 23 2014 13:00:00 GMT-0800 (PST),2014-12-23,12
2014,FORD,MUSTANG,V6,Convertible,automatic,1zvbp8em0e5208563,ca,34,67805,red,black,dtg operations inc,12250,12700,Wed Dec 31 2014 12:30:00 GMT-0800 (PST),2014-12-31,12
2014,FORD,MUSTANG,V6,Convertible,automatic,1zvbp8em5e5210633,ca,37,65110,gray,black,dtg operations inc,12950,12900,Tue Dec 30 2014 15:00:00 GMT-0800 (PST),2014-12-30,12
2014,FORD,MUSTANG,V6,Convertible,automatic,1zvbp8em0e5328427,ca,1,3215,gray,black,enterprise vehicle exchange / tra / rental / tulsa,22600,11300,Tue Dec 16 2014 12:00:00 GMT-0800 (PST),2014-12-16,12
2014,FORD,MUSTANG,V6,Convertible,automatic,1zvbp8em4e5220232,ca,38,37912,red,beige,ford motor credit company,15550,15000,Thu Dec 18 2014 12:00:00 GMT-0800 (PST),2014-12-18,12
2014,FORD,MUSTANG,V6,Convertible,automatic,1zvbp8em4e5227102,ca,45,66307,blue,black,dtg operations inc,12250,13900,Wed Dec 31 2014 12:30:00 GMT-0800 (PST),2014-12-31,12
2014,FORD,MUSTANG,V6,Convertible,automatic,1zvbp8em8e5306658,ca,2,21629,black,black,enterprise vehicle exchange / tra / rental / tulsa,20300,12100,Tue Dec 30 2014 12:00:00 GMT-0800 (PST),2014-12-30,12
2014,FORD,MUSTANG,V6,Convertible,automatic,1zvbp8em0e5323079,ca,,12789,red,black,avis rac/san leandro,21400,16500,Tue Dec 16 2014 12:00:00 GMT-0800 (PST),2014-12-16,12
2014,FORD,MUSTANG,V6,Convertible,automatic,1zvbp8em2e5322953,ca,41,8709,gray,black,ford motor credit company,19050,18200,Thu Dec 18 2014 12:00:00 GMT-0800 (PST),2014-12-18,12
2014,FORD,MUSTANG,V6,Convertible,automatic,1zvbp8em2e5236512,ca,44,45376,silver,black,avis corporation,14650,17200,Thu Dec 18 2014 11:30:00 GMT-0800 (PST),2014-12-18,12
2014,FORD,MUSTANG,V6,Convertible,automatic,1zvbp8em5e5317214,ca,2,3821,black,black,enterprise vehicle exchange / tra / rental / tulsa,22500,12200,Tue Dec 16 2014 12:00:00 GMT-0800 (PST),2014-12-16,12
2014,FORD,MUSTANG,V6,Convertible,automatic,1zvbp8em2e5205843,ca,41,64610,white,black,dtg operations inc,12250,14000,Wed Dec 31 2014 12:30:00 GMT-0800 (PST),2014-12-31,12
2014,FORD,MUSTANG,V6,Convertible,automatic,1zvbp8emxe5302482,ca,1,29428,black,black,enterprise vehicle exchange / tra / rental / tulsa,16550,12300,Wed Dec 17 2014 15:05:00 GMT-0800 (PST),2014-12-17,12
2014,FORD,MUSTANG,V6,Convertible,automatic,1zvbp8em8e5229550,ca,,48854,green,black,avis rac/san francisco,14950,10400,Wed Dec 17 2014 12:30:00 GMT-0800 (PST),2014-12-17,12
