year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate,sale_date,sale_month
2014,FORD,MUSTANG,V6,Convertible,automatic,1zvbp8em7e5322348,ca,1,7200,red,gray,fox rent a car tra,19950,8000,Tue Feb 03 2015 04:00:00 GMT-0800 (PST),2015-02-03,2
2014,FORD,MUSTANG,V6,Convertible,,1zvbp8em6e5322874,pa,34,15479,silver,gray,ford motor credit company,19200,17400,Fri Feb 13 2015 01:00:00 GMT-0800 (PST),2015-02-13,2
2014,FORD,MUSTANG,GT,Convertible,automatic,1zvbp8ff9e5300450,tx,44,23707,—,black,budget rent a car/wichita,24900,23800,Thu Feb 26 2015 03:00:00 GMT-0800 (PST),2015-02-26,2
2014,FORD,MUSTANG,GT,Convertible,automatic,1zvbp8ff6e5300440,tx,41,19258,—,black,budget rent a car/atlanta,25300,24200,Thu Feb 05 2015 03:00:00 GMT-0800 (PST),2015-02-05,2
2014,FORD,MUSTANG,GT,Convertible,,1zvbp8ff7e5314394,qc,48,18035,black,black,ford motor company of canada,28400,30100,Tue Feb 03 2015 02:00:00 GMT-0800 (PST),2015-02-03,2
2014,FORD,MUSTANG,V6,Convertible,automatic,1zvbp8em5e5322848,ga,47,9824,black,black,avis budget group,19800,20700,Mon Feb 09 2015 02:00:00 GMT-0800 (PST),2015-02-09,2
2014,FORD,MUSTANG,V6,Convertible,automatic,1zvbp8em7e5322754,tx,35,11868,red,gray,avis budget group,19400,18500,Wed Feb 04 2015 02:30:00 GMT-0800 (PST),2015-02-04,2
2014,FORD,MUSTANG,V6,Convertible,,1zvbp8emxe5292133,fl,2,13685,black,black,enterprise vehicle exchange / tra / rental / tulsa,19600,15600,Tue Feb 17 2015 01:00:00 GMT-0800 (PST),2015-02-17,2
2014,FORD,MUSTANG,V6,Convertible,automatic,1zvbp8em2e5322760,tx,41,13392,red,black,avis budget group,19200,18400,Wed Feb 04 2015 02:30:00 GMT-0800 (PST),2015-02-04,2
2014,FORD,MUSTANG,V6,Convertible,automatic,1zvbp8em4e5292208,ca,37,35584,black,black,enterprise rent a car/ars,16550,15900,Thu Feb 05 2015 12:00:00 GMT-0800 (PST),2015-02-05,2
2014,FORD,MUSTANG,V6,Convertible,automatic,1zvbp8em4e5322761,tx,36,14645,red,gray,avis budget group,19050,18600,Wed Feb 04 2015 02:30:00 GMT-0800 (PST),2015-02-04,2
2014,FORD,MUSTANG,V6,Convertible,automatic,1zvbp8em8e5210609,nj,34,56605,black,black,dollar thrifty auto group,13650,14300,Wed Feb 11 2015 01:30:00 GMT-0800 (PST),2015-02-11,2
2014,FORD,MUSTANG,V6,Convertible,automatic,1zvbp8em8e5328515,nj,1,11141,gray,black,enterprise veh exchange/rental,19950,9700,Wed Feb 18 2015 04:00:00 GMT-0800 (PST),2015-02-18,2
2014,FORD,MUSTANG,GT,Convertible,automatic,1zvbp8ff1e5307148,tx,42,17147,—,black,budget rent a car/omaha,25100,24500,Thu Feb 12 2015 03:00:00 GMT-0800 (PST),2015-02-12,2
2013,FORD,MUSTANG,V6,Convertible,automatic,1zvbp8em6d5270015,nv,33,34278,blue,black,enterprise veh exchange/rental,14250,14800,Fri Feb 06 2015 04:00:00 GMT-0800 (PST),2015-02-06,2
2014,FORD,MUSTANG,V6,Convertible,automatic,1zvbp8em9e5238340,fl,43,38268,gray,black,ez rent a car inc,16000,15900,Tue Feb 03 2015 01:00:00 GMT-0800 (PST),2015-02-03,2
1999,FORD,MUSTANG,GT,Convertible,automatic,1fafp45x9xf170499,pa,35,87848,red,tan,credit acceptance corp/vrs/southfield,3750,2600,Tue Feb 24 2015 01:30:00 GMT-0800 (PST),2015-02-24,2
2014,FORD,MUSTANG,V6,Convertible,automatic,1zvbp8em2e5314318,mo,5,5888,—,black,ford motor credit company,20400,19700,Tue Feb 10 2015 05:30:00 GMT-0800 (PST),2015-02-10,2
2014,FORD,MUSTANG,V6,Convertible,automatic,1zvbp8emxe5314311,mo,5,7330,black,black,ford motor credit company,20200,19700,Tue Feb 10 2015 05:30:00 GMT-0800 (PST),2015-02-10,2
2014,FORD,MUSTANG,V6,Convertible,automatic,1zvbp8em3e5323013,mo,47,11511,silver,black,avis budget group,19400,19000,Tue Feb 03 2015 02:30:00 GMT-0800 (PST),2015-02-03,2
2014,FORD,MUSTANG,V6,Convertible,automatic,1zvbp8em1e5236274,nv,44,45834,blue,black,avis corporation,16950,17100,Fri Feb 13 2015 04:00:00 GMT-0800 (PST),2015-02-13,2
2014,FORD,MUSTANG,GT,Convertible,,1zvbp8ffxe5307312,on,37,17370,gray,black,ford motor company of canada  limited,28800,29400,Tue Feb 10 2015 02:00:00 GMT-0800 (PST),2015-02-10,2
2014,FORD,MUSTANG,V6,Convertible,automatic,1zvbp8em8e5238037,ca,38,61699,silver,black,the hertz corporation,12950,13400,Wed Feb 11 2015 04:30:00 GMT-0800 (PST),2015-02-11,2
