year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate,sale_date,sale_month
2010,FORD,MUSTANG,V6,Convertible,automatic,1zvbp8en2a5166870,ca,19,99133,white,brown,tycon enterprises,8975,8600,Tue Jan 06 2015 12:30:00 GMT-0800 (PST),2015-01-06,1
2014,FORD,MUSTANG,V6,Convertible,automatic,1zvbp8em9e5205838,ca,41,66269,red,black,dtg operations inc,12550,12800,Thu Jan 08 2015 11:30:00 GMT-0800 (PST),2015-01-08,1
2014,FORD,MUSTANG,V6,Convertible,,1zvbp8em4e5292368,ca,35,11407,red,gray,midway hfc fleet/ars,18750,18000,Thu Jan 08 2015 12:00:00 GMT-0800 (PST),2015-01-08,1
2014,FORD,MUSTANG,V6,Convertible,automatic,1zvbp8em6e5292369,ca,44,12241,red,black,midway hfc fleet/ars,18950,17600,Thu Jan 15 2015 04:00:00 GMT-0800 (PST),2015-01-15,1
2014,FORD,MUSTANG,V6,Convertible,automatic,1zvbp8em5e5279547,ca,38,20634,gray,black,ford motor credit company,20600,19000,Thu Jan 29 2015 04:00:00 GMT-0800 (PST),2015-01-29,1
2004,FORD,MUSTANG,Premium,Convertible,automatic,1fafp44694f184374,ca,21,108549,red,tan,point loma pre owned inc,3225,2100,Wed Jan 07 2015 12:30:00 GMT-0800 (PST),2015-01-07,1
1997,FORD,MUSTANG SVT COBRA,Base,Convertible,manual,1falp46v6vf149039,ca,33,102865,red,black,mechanics bank,5750,900,Wed Jan 14 2015 07:00:00 GMT-0800 (PST),2015-01-14,1
2013,FORD,MUSTANG,V6,Convertible,automatic,1zvbp8em3d5214131,ca,43,54967,gray,black,dtg operations inc,12350,11100,Thu Jan 08 2015 11:30:00 GMT-0800 (PST),2015-01-08,1
2013,FORD,MUSTANG,V6,Convertible,automatic,1zvbp8em1d5272240,ca,23,64861,red,black,dtg operations inc,12250,9200,Wed Jan 28 2015 04:30:00 GMT-0800 (PST),2015-01-28,1
2010,FORD,MUSTANG,V6,Convertible,,1zvbp8en5a5181427,pa,27,69597,black,black,fiserv/citizens auto finance,9625,9400,Fri Jan 09 2015 09:00:00 GMT-0800 (PST),2015-01-09,1
