year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate,sale_date,sale_month
2013,FORD,MUSTANG,V6,Convertible,automatic,1zvbp8em5d5274363,mi,5,5975,white,black,ars-cpo,24600,23700,Wed Jun 03 2015 03:00:00 GMT-0700 (PDT),6/3/2015,6
2014,FORD,MUSTANG,V6,Convertible,automatic,1zvbp8emxe5220025,ca,28,61565,blue,black,dtg operations inc,14200,11500,Wed Jun 03 2015 05:30:00 GMT-0700 (PDT),6/3/2015,6
2014,FORD,MUSTANG,V6,Convertible,automatic,1zvbp8em0e5285479,fl,39,35332,silver,black,enterprise veh exchange/rental,17600,18800,Tue Jun 02 2015 02:15:00 GMT-0700 (PDT),6/2/2015,6
2006,FORD,MUSTANG,Premium,Convertible,automatic,1zvft84n365113729,nc,27,89132,red,black,hendrick alfa romeo fiat of concord,6450,8000,Wed Jun 17 2015 07:00:00 GMT-0700 (PDT),6/17/2015,6
2006,FORD,MUSTANG,Deluxe,Convertible,automatic,1zvft84n965217691,ca,34,79152,red,gray,mercedes benz of ontario,7025,8300,Wed Jun 17 2015 05:15:00 GMT-0700 (PDT),6/17/2015,6
2004,FORD,THUNDERBIRD,Premium,Convertible,automatic,1fahp60a94y103649,ca,34,45866,black,—,skyhigh remarketing inc,13050,13600,Wed Jun 17 2015 05:00:00 GMT-0700 (PDT),6/17/2015,6
2003,FORD,THUNDERBIRD,Deluxe,Convertible,automatic,1fahp60a03y112108,wa,36,51346,red,black,steve and sons auto sales llc,14000,14000,Wed Jun 17 2015 05:30:00 GMT-0700 (PDT),6/17/2015,6
2003,FORD,MUSTANG,Premium,Convertible,,1fafp44473f400526,fl,25,88117,silver,gray,courtesy nissan of tampa,3450,3000,Thu Jun 18 2015 09:20:00 GMT-0700 (PDT),6/18/2015,6
2002,FORD,MUSTANG,GT Deluxe,Convertible,manual,1fafp45x42f158415,oh,35,115054,yellow,black,luxury motor car company,4550,5200,Thu Jun 18 2015 03:30:00 GMT-0700 (PDT),6/18/2015,6
2014,FORD,MUSTANG,V6,Convertible,,1zvbp8em4e5310545,pa,47,24771,blue,black,autolenders liquidation center,17850,17600,Fri Jun 19 2015 02:00:00 GMT-0700 (PDT),6/19/2015,6
2014,FORD,MUSTANG,V6,Convertible,automatic,1zvbp8em7e5292512,fl,49,27148,red,black,avis corporation,18850,18000,Fri Jun 19 2015 03:20:00 GMT-0700 (PDT),6/19/2015,6
2014,FORD,MUSTANG,V6,Convertible,automatic,1zvbp8em4e5208498,fl,43,59153,white,black,dtg operations inc,13600,14700,Fri Jun 19 2015 03:00:00 GMT-0700 (PDT),6/19/2015,6
2014,FORD,MUSTANG,V6,Convertible,,1zvbp8em2e5278937,pa,48,28110,white,tan,autolenders liquidation center,17450,17800,Fri Jun 19 2015 02:00:00 GMT-0700 (PDT),6/19/2015,6
2014,FORD,MUSTANG,V6,Convertible,automatic,1zvbp8em7e5231869,fl,38,57753,gray,black,the hertz corporation,13800,15400,Fri Jun 19 2015 03:00:00 GMT-0700 (PDT),6/19/2015,6
2014,FORD,MUSTANG,V6,Convertible,automatic,1zvbp8em4e5243705,fl,43,57967,white,gray,the hertz corporation,13750,15400,Fri Jun 19 2015 03:00:00 GMT-0700 (PDT),6/19/2015,6
2014,FORD,MUSTANG,V6,Convertible,automatic,1zvbp8emxe5242851,ca,35,56938,white,black,the hertz corporation,14050,14100,Thu Jun 18 2015 05:30:00 GMT-0700 (PDT),6/18/2015,6
2010,FORD,MUSTANG,GT,Convertible,automatic,1zvbp8fh2a5121758,fl,44,51279,blue,—,gettel toyota of lakewood,18850,17900,Thu Jun 18 2015 09:00:00 GMT-0700 (PDT),6/18/2015,6
2009,FORD,MUSTANG,GT Deluxe,Convertible,automatic,1zvht85h195122970,ca,37,61227,blue,tan,penegon mission viejo inc,13800,12000,Wed Jun 17 2015 05:30:00 GMT-0700 (PDT),6/17/2015,6
2013,FORD,MUSTANG,V6,Convertible,automatic,1zvbp8em6d5237449,mn,45,70319,red,black,dml remarketing,12250,13400,Wed Jun 17 2015 03:30:00 GMT-0700 (PDT),6/17/2015,6
2014,FORD,MUSTANG,V6,Convertible,,1zvbp8em0e5310722,pa,39,15946,black,black,autolenders liquidation center,18950,18000,Fri Jun 19 2015 02:00:00 GMT-0700 (PDT),6/19/2015,6
2014,FORD,MUSTANG,V6,Convertible,,1zvbp8em0e5310767,pa,44,20844,black,black,autolenders liquidation center,18350,17700,Fri Jun 19 2015 02:00:00 GMT-0700 (PDT),6/19/2015,6
2014,FORD,MUSTANG,V6,Convertible,,1zvbp8em1e5205915,fl,43,61947,blue,black,dtg operations inc,13250,14200,Fri Jun 19 2015 03:00:00 GMT-0700 (PDT),6/19/2015,6
2014,FORD,MUSTANG,V6,Convertible,,1zvbp8em0e5263594,pa,43,27764,white,black,autolenders liquidation center,17500,16500,Fri Jun 19 2015 02:00:00 GMT-0700 (PDT),6/19/2015,6
2013,FORD,MUSTANG,V6,Convertible,automatic,1zvbp8em1d5280421,fl,46,55802,black,black,dtg operations inc,13300,13300,Fri Jun 19 2015 03:00:00 GMT-0700 (PDT),6/19/2015,6
2013,FORD,MUSTANG,V6,Convertible,automatic,1zvbp8em9d5224453,az,31,44272,green,black,remarketing by ge/flagship credit acceptance,14250,12500,Thu Jun 18 2015 05:00:00 GMT-0700 (PDT),6/18/2015,6
2004,FORD,THUNDERBIRD,Premium,Convertible,automatic,1fahp60a34y111309,il,29,15538,silver,black,toronto auto broker,18600,18000,Thu Jun 18 2015 03:00:00 GMT-0700 (PDT),6/18/2015,6
2002,FORD,MUSTANG,Deluxe,Convertible,automatic,1fafp44442f228325,fl,21,102943,black,gray,wayne akers ford inc,3000,2900,Thu Jun 18 2015 03:20:00 GMT-0700 (PDT),6/18/2015,6
