year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate,sale_date,sale_month
2014,FORD,MUSTANG,V6,Convertible,automatic,1zvbp8em1e5265077,ca,36,39433,red,beige,ars/avis budget group,18550,17900,Thu Mar 05 2015 04:30:00 GMT-0800 (PST),2015-03-05,3
2014,FORD,MUSTANG,GT,Convertible,automatic,1zvbp8ff2e5265170,ga,25,24388,red,black,budget rent a car/east point,24700,24000,Tue Mar 03 2015 01:30:00 GMT-0800 (PST),2015-03-03,3
2014,FORD,MUSTANG,GT,Convertible,,1zvbp8ffxe5307245,on,49,22166,black,black,ford motor company of canada  limited,29500,31200,Tue Mar 03 2015 02:00:00 GMT-0800 (PST),2015-03-03,3
2014,FORD,MUSTANG,GT,Convertible,,1zvbp8ff7e5307316,on,45,13620,blue,black,ford motor company of canada  limited,29700,31500,Tue Mar 03 2015 02:00:00 GMT-0800 (PST),2015-03-03,3
2013,FORD,MUSTANG,V6,Convertible,automatic,1zvbp8em1d5237424,nc,23,56253,silver,black,dtg operations inc,14000,12701,Tue Mar 03 2015 01:15:00 GMT-0800 (PST),2015-03-03,3
2014,FORD,MUSTANG,V6,Convertible,automatic,1zvbp8em1e5213383,nv,37,56709,white,black,dtg operations inc,14250,13500,Fri Mar 06 2015 04:00:00 GMT-0800 (PST),2015-03-06,3
2005,FORD,MUSTANG,Deluxe,Convertible,automatic,1zvft84n355215725,hi,21,121690,gray,gray,fiserv/us bank na,5475,500,Tue Mar 03 2015 16:00:00 GMT-0800 (PST),2015-03-03,3
2005,FORD,MUSTANG,GT Premium,Convertible,automatic,1zvht85h455209305,pa,26,35738,black,red,wayne auto sales inc,12300,11900,Fri Mar 06 2015 01:30:00 GMT-0800 (PST),2015-03-06,3
2002,FORD,MUSTANG,Premium,Convertible,automatic,1fafp44412f128246,nc,19,151862,gray,gray,repo remarketing/first flight federal cu,2000,900,Mon Mar 09 2015 02:30:00 GMT-0700 (PDT),2015-03-09,3
2012,FORD,MUSTANG,V6,Convertible,automatic,1zvbp8em0c5273300,ca,36,48971,white,black,dtg operations inc,12550,11800,Thu Mar 05 2015 04:00:00 GMT-0800 (PST),2015-03-05,3
2012,FORD,MUSTANG,V6,Convertible,automatic,1zvbp8emxc5273398,ca,34,45547,silver,black,dtg operations inc,12900,12100,Thu Mar 05 2015 04:00:00 GMT-0800 (PST),2015-03-05,3
1998,FORD,MUSTANG,Base,Convertible,,1fafp4446wf152208,va,1,98989,black,—,select remarketing group llc/anderson financial,1525,750,Wed Mar 04 2015 01:00:00 GMT-0800 (PST),2015-03-04,3
2013,FORD,MUSTANG,V6,Convertible,automatic,1zvbp8em8d5260196,nj,43,62517,silver,black,northeast leasing,13700,14000,Wed Mar 04 2015 01:30:00 GMT-0800 (PST),2015-03-04,3
2013,FORD,MUSTANG,V6,Convertible,automatic,1zvbp8em6d5229965,ga,28,66081,gray,black,dollar thrifty automotive group,13550,13800,Tue Mar 03 2015 01:30:00 GMT-0800 (PST),2015-03-03,3
2012,FORD,MUSTANG,V6,Convertible,automatic,1zvbp8em2c5273363,ca,39,51422,blue,black,dtg operations inc,12300,11600,Thu Mar 05 2015 04:00:00 GMT-0800 (PST),2015-03-05,3
2013,FORD,MUSTANG,V6,Convertible,automatic,1zvbp8em3d5272305,nv,31,58746,white,black,dtg operations inc,13850,13100,Fri Mar 06 2015 04:00:00 GMT-0800 (PST),2015-03-06,3
2012,FORD,MUSTANG,V6,Convertible,automatic,1zvbp8em5c5272157,tn,36,18097,white,beige,sullivan auto group llc,15350,14600,Wed Mar 04 2015 02:30:00 GMT-0800 (PST),2015-03-04,3
