year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate,sale date
2015,FORD,FUSION,SE,Sedan,automatic,3fa6p0h7xfr151689,ca,1,4205,white,black,enterprise vehicle exchange / tra / rental / tulsa,14700,12000,Wed Dec 17 2014 15:05:00 GMT-0800 (PST),12/17/2014
2012,FORD,E-SERIES WAGON,E-350 Super Duty XL,Van,,1fbss3bl8cdb20464,ca,2,42804,white,gray,enterprise vehicle exchange / tra / rental / tulsa,16150,16000,Thu Dec 18 2014 11:30:00 GMT-0800 (PST),12/18/2014
2012,FORD,ESCAPE,Limited,SUV,automatic,1fmcu0eg0ckb55384,ca,35,45035,gray,beige,ford motor credit company llc pd,15450,14100,Thu Dec 18 2014 12:00:00 GMT-0800 (PST),12/18/2014
2012,FORD,EDGE,SEL,SUV,automatic,2fmdk3jc5cba41602,ca,46,20035,gray,black,ford motor credit company llc pd,20700,20800,Thu Dec 18 2014 12:00:00 GMT-0800 (PST),12/18/2014
2012,FORD,EDGE,SEL,SUV,automatic,2fmdk4jc4cba12890,ca,46,41115,white,gray,ford motor credit company llc pd,19800,22100,Thu Dec 18 2014 12:00:00 GMT-0800 (PST),12/18/2014
2012,FORD,FOCUS,Titanium,Hatchback,automatic,1fahp3n21cl330426,ca,3,26747,red,black,remarketing by ge/chase lease remarketing co,12900,14000,Wed Dec 17 2014 12:30:00 GMT-0800 (PST),12/17/2014
2012,FORD,FLEX,Limited,Hatchback,,2fmgk5dc5cbd10752,ca,,53527,silver,—,onemain rem/manheim southern california,19350,16750,Thu Dec 18 2014 12:00:00 GMT-0800 (PST),12/18/2014
2012,FORD,FOCUS,Titanium,Hatchback,automatic,1fahp3n22cl337238,ca,39,29499,black,black,ford motor credit company llc pd,12900,14900,Thu Dec 18 2014 12:00:00 GMT-0800 (PST),12/18/2014
2012,FORD,FOCUS,SE,Sedan,automatic,1fahp3f21cl196273,ca,3,64750,red,black,remarketing by ge/chase lease remarketing co,8150,8500,Wed Dec 17 2014 12:30:00 GMT-0800 (PST),12/17/2014
2012,FORD,F-350 SUPER DUTY,Lariat,Truck,automatic,1ft8w3bt7cea57572,ca,42,31076,gray,black,us bank,41800,44750,Tue Dec 16 2014 12:30:00 GMT-0800 (PST),12/16/2014
