year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate,sale date
2015,FORD,FUSION,SE,Sedan,automatic,3fa6p0hdxfr145753,ca,2,5559,white,beige,enterprise vehicle exchange / tra / rental / tulsa,15350,12000,Tue Jan 13 2015 12:00:00 GMT-0800 (PST),1/13/2015
2012,FORD,ESCAPE,Limited,SUV,automatic,1fmcu0eg8cka50169,ca,24,35488,gray,black,premium auto wholesale,16000,14000,Thu Jan 08 2015 12:00:00 GMT-0800 (PST),1/8/2015
2012,FORD,FOCUS,SE,Sedan,automatic,1fahp3f22cl321491,ca,48,9059,gray,gray,ford motor credit company llc pd,11050,12100,Thu Jan 08 2015 12:00:00 GMT-0800 (PST),1/8/2015
2012,FORD,FOCUS,Titanium,Sedan,automatic,1fahp3j2xcl215975,ca,32,47861,white,black,bmw alphera/alphera financial services,11200,6100,Wed Jan 21 2015 04:30:00 GMT-0800 (PST),1/21/2015
2012,FORD,EDGE,SEL,SUV,automatic,2fmdk3jc3cba04337,ca,43,65548,black,beige,ford motor credit company llc pd,16350,16600,Thu Jan 08 2015 12:00:00 GMT-0800 (PST),1/8/2015
2012,FORD,FUSION,SE,Sedan,automatic,3fahp0ha6cr182177,ca,35,64035,blue,gray,dtg operations inc,9550,8900,Wed Jan 07 2015 12:30:00 GMT-0800 (PST),1/7/2015
2012,FORD,FUSION,Hybrid,Sedan,automatic,3fadp0l39cr356699,ca,41,65771,blue,black,m/r motors inc,11900,12200,Thu Jan 15 2015 04:00:00 GMT-0800 (PST),1/15/2015
2012,FORD,FUSION,SE,Sedan,automatic,3fahp0ha3cr291860,ca,28,62752,white,gray,dtg operations inc,9525,9800,Thu Jan 15 2015 03:30:00 GMT-0800 (PST),1/15/2015
2011,FORD,F-150,FX4,Truck,automatic,1ftfx1ef7bke22718,ca,37,29711,black,black,ford motor credit company llc pd,26200,27100,Thu Jan 08 2015 12:00:00 GMT-0800 (PST),1/8/2015
2011,FORD,EDGE,SE,SUV,automatic,2fmdk3gc5bba57689,ca,39,27355,silver,beige,remarketing by ge/manheim california,15150,7750,Wed Jan 14 2015 04:30:00 GMT-0800 (PST),1/14/2015
2011,FORD,F-150,FX2,Truck,automatic,1ftfw1cf0bkd87428,ca,39,181395,blue,gray,nvp remarketing,17000,12250,Tue Jan 06 2015 04:00:00 GMT-0800 (PST),1/6/2015
2011,FORD,F-150,FX2,Truck,automatic,1ftfx1cf0bkd19577,ca,21,48577,black,black,remarketing by ge/flagship credit acceptance,19100,14250,Tue Jan 06 2015 12:00:00 GMT-0800 (PST),1/6/2015
2011,FORD,FLEX,Limited,Hatchback,automatic,2fmgk5dc8bbd00246,ca,31,103584,white,tan,rancho ford,13350,11300,Thu Jan 08 2015 12:00:00 GMT-0800 (PST),1/8/2015
2011,FORD,EDGE,Limited,SUV,automatic,2fmdk4kc9bbb55301,ca,43,31519,black,black,ford motor credit company llc pd,22500,23300,Thu Jan 08 2015 12:00:00 GMT-0800 (PST),1/8/2015
2011,FORD,FIESTA,SEL,Sedan,automatic,3fadp4cj9bm121964,ca,23,49543,black,black,larry h miller toyota corona,8400,5000,Thu Jan 15 2015 04:00:00 GMT-0800 (PST),1/15/2015
2010,FORD,F-150,XLT,Truck,automatic,1ftfw1cv6afb77382,ca,19,19591,blue,beige,us bank,20200,11000,Tue Jan 13 2015 12:00:00 GMT-0800 (PST),1/13/2015
2010,FORD,MUSTANG,V6,Convertible,automatic,1zvbp8en2a5166870,ca,19,99133,white,brown,tycon enterprises,8975,8600,Tue Jan 06 2015 12:30:00 GMT-0800 (PST),1/6/2015
2009,FORD,ECONOLINE CARGO,E-150,Van,automatic,1ftne14l29da91649,ca,3,77473,white,gray,lease plan usa,12900,11750,Wed Jan 14 2015 04:30:00 GMT-0800 (PST),1/14/2015
2008,FORD,EXPLORER SPORT TRAC,XLT,Truck,automatic,1fmeu31e48ua60577,ca,18,88389,white,gray,ford motor credit company llc,11050,6800,Tue Jan 13 2015 13:00:00 GMT-0800 (PST),1/13/2015
2008,FORD,F-250 SUPER DUTY,XLT,Truck,automatic,1ftsx21528ed23250,ca,28,105527,white,beige,remarketing by ge/ge capital solutions,13150,8500,Tue Jan 06 2015 12:00:00 GMT-0800 (PST),1/6/2015
2008,FORD,EXPLORER,Limited,SUV,,1fmeu75888ua44202,ca,31,97647,gray,black,lucky imports,10650,10900,Wed Jan 14 2015 04:30:00 GMT-0800 (PST),1/14/2015
2007,FORD,FUSION,SEL,Sedan,automatic,3fahp08187r123542,ca,25,111324,blue,beige,tidalwave finance corp,5200,4100,Wed Jan 07 2015 12:05:00 GMT-0800 (PST),1/7/2015
2007,FORD,F-250 SUPER DUTY,XLT,Truck,automatic,1ftsw21517ea04228,ca,39,75476,white,gray,merchants automotive group,15350,13500,Wed Jan 14 2015 04:30:00 GMT-0800 (PST),1/14/2015
2006,FORD,F-150,XLT,Truck,automatic,1ftrw12w46fb39745,ca,21,107040,black,gray,redline remarketing,9200,8800,Wed Jan 07 2015 12:05:00 GMT-0800 (PST),1/7/2015
2006,FORD,F-150,Lariat,Truck,automatic,1ftpw14566fa59634,ca,26,153708,silver,gray,imans imports,9775,8500,Tue Jan 06 2015 12:30:00 GMT-0800 (PST),1/6/2015
2006,FORD,F-250 SUPER DUTY,XLT,Truck,automatic,1ftsw20px6ed83523,ca,29,126793,white,gray,fox rent a car,9650,8000,Thu Jan 15 2015 03:30:00 GMT-0800 (PST),1/15/2015
2006,FORD,MUSTANG,Standard,Coupe,automatic,1zvft80n165169609,ca,35,86314,silver,black,hertz remarketing,6300,4000,Thu Jan 08 2015 12:00:00 GMT-0800 (PST),1/8/2015
2006,FORD,F-350 SUPER DUTY,XL,Truck,automatic,1ftsw31p36ed90138,ca,29,197351,white,gray,nationwide motor vehicles,6450,5800,Wed Jan 14 2015 04:30:00 GMT-0800 (PST),1/14/2015
2014,FORD,FOCUS,SE,Sedan,automatic,1fadp3f20el113174,ca,33,30689,red,tan,avis corporation,12000,11600,Thu Jan 08 2015 11:30:00 GMT-0800 (PST),1/8/2015
2014,FORD,MUSTANG,V6,Convertible,automatic,1zvbp8em9e5205838,ca,41,66269,red,black,dtg operations inc,12550,12800,Thu Jan 08 2015 11:30:00 GMT-0800 (PST),1/8/2015
2014,FORD,EXPLORER,Limited,SUV,automatic,1fm5k8f88ega09633,ca,36,38985,blue,tan,avis corporation,28400,28000,Thu Jan 08 2015 11:30:00 GMT-0800 (PST),1/8/2015
2014,FORD,MUSTANG,V6,Convertible,,1zvbp8em4e5292368,ca,35,11407,red,gray,midway hfc fleet/ars,18750,18000,Thu Jan 08 2015 12:00:00 GMT-0800 (PST),1/8/2015
2014,FORD,FOCUS,SE,Sedan,automatic,1fadp3f26el238454,ca,33,9461,gray,gray,premium auto wholesale,12950,11800,Thu Jan 08 2015 12:00:00 GMT-0800 (PST),1/8/2015
2014,FORD,ESCAPE,SE,SUV,,1fmcu9g91eua15421,ca,45,25571,silver,gray,ford motor credit company,19150,18400,Wed Jan 07 2015 05:00:00 GMT-0800 (PST),1/7/2015
2014,FORD,E-SERIES WAGON,E-350 Super Duty XLT,Van,automatic,1fbne3bl8eda08495,ca,28,29592,white,beige,ford motor credit company,18600,19000,Thu Jan 08 2015 12:00:00 GMT-0800 (PST),1/8/2015
2014,FORD,EXPEDITION,Limited,SUV,automatic,1fmju2a51eef32586,ca,49,31985,black,beige,enterprise vehicle exchange/orange,33200,31750,Tue Jan 06 2015 04:30:00 GMT-0800 (PST),1/6/2015
2014,FORD,MUSTANG,V6,Convertible,automatic,1zvbp8em6e5292369,ca,44,12241,red,black,midway hfc fleet/ars,18950,17600,Thu Jan 15 2015 04:00:00 GMT-0800 (PST),1/15/2015
2014,FORD,MUSTANG,V6,Coupe,automatic,1zvbp8am8e5250498,ca,2,50074,gray,black,progressive remarketing,14650,6700,Wed Jan 14 2015 03:00:00 GMT-0800 (PST),1/14/2015
2014,FORD,FUSION,SE,Sedan,automatic,3fa6p0h74er214655,ca,37,40720,red,black,ars/avis budget group,14500,14700,Thu Jan 08 2015 12:00:00 GMT-0800 (PST),1/8/2015
2014,FORD,FUSION,Titanium,Sedan,automatic,3fa6p0k91er323827,ca,38,11227,white,black,ford motor credit company,21200,19500,Thu Jan 29 2015 04:00:00 GMT-0800 (PST),1/29/2015
2014,FORD,EXPLORER,XLT,SUV,automatic,1fm5k8d80egb28151,ca,45,25349,silver,beige,ford motor credit company,28200,28800,Wed Jan 07 2015 05:00:00 GMT-0800 (PST),1/7/2015
2014,FORD,FOCUS,SE,Sedan,automatic,1fadp3f28el322467,ca,1,9151,gray,gray,enterprise vehicle exchange / tra / rental / tulsa,12950,5500,Thu Jan 08 2015 12:30:00 GMT-0800 (PST),1/8/2015
2014,FORD,MUSTANG,V6,Convertible,automatic,1zvbp8em5e5279547,ca,38,20634,gray,black,ford motor credit company,20600,19000,Thu Jan 29 2015 04:00:00 GMT-0800 (PST),1/29/2015
2014,FORD,EXPEDITION,EL King Ranch,SUV,automatic,1fmjk1j53eef17717,ca,49,18522,black,gray,ford motor credit company,34100,32200,Wed Jan 07 2015 05:00:00 GMT-0800 (PST),1/7/2015
2014,FORD,E-SERIES WAGON,E-350 Super Duty XLT,Van,,1fbne3bl6eda15154,ca,23,22173,white,gray,ford motor credit company,19500,18700,Thu Jan 29 2015 04:00:00 GMT-0800 (PST),1/29/2015
2014,FORD,E-SERIES WAGON,E-350 Super Duty XLT,Van,automatic,1fbne3bl9eda15231,ca,42,17210,white,gray,ford motor credit company,20000,20400,Thu Jan 08 2015 12:00:00 GMT-0800 (PST),1/8/2015
2014,FORD,ESCAPE,SE,SUV,automatic,1fmcu0gxxeua07649,ca,41,34960,black,gray,ford motor credit company,15950,15700,Wed Jan 07 2015 05:00:00 GMT-0800 (PST),1/7/2015
2014,FORD,EXPLORER,XLT,SUV,automatic,1fm5k8d89egb28147,ca,45,24442,silver,beige,ford motor credit company,28300,28900,Wed Jan 07 2015 05:00:00 GMT-0800 (PST),1/7/2015
2005,FORD,FIVE HUNDRED,Limited,Sedan,automatic,1fafp25165g115693,ca,19,97199,burgundy,beige,yucca valley ford center,3800,3500,Tue Jan 20 2015 04:00:00 GMT-0800 (PST),1/20/2015
2005,FORD,ECONOLINE WAGON,E-350 Super Duty XLT,Van,automatic,1fbne31l05ha98901,ca,19,72412,silver,gray,wheels/cox,5625,5100,Thu Jan 08 2015 12:00:00 GMT-0800 (PST),1/8/2015
2005,FORD,EXPEDITION,XLT,SUV,,1fmpu15515la97434,ca,2,118729,gray,gray,lbs financial credit union,3475,1900,Wed Jan 07 2015 03:00:00 GMT-0800 (PST),1/7/2015
2005,FORD,ECONOLINE CARGO,E-150,Van,,1ftre14w35ha85597,ca,19,100663,white,gray,southeast fleet a/s inc,5225,5000,Thu Jan 15 2015 04:00:00 GMT-0800 (PST),1/15/2015
2004,FORD,F-150,XLT,Truck,automatic,1ftpw12534kc07603,ca,36,158597,black,gray,david wilsons ford of orange,5575,5300,Wed Jan 14 2015 05:00:00 GMT-0800 (PST),1/14/2015
2004,FORD,MUSTANG,Premium,Convertible,automatic,1fafp44694f184374,ca,21,108549,red,tan,point loma pre owned inc,3225,2100,Wed Jan 07 2015 12:30:00 GMT-0800 (PST),1/7/2015
2001,FORD,F-350 SUPER DUTY,Lariat,Truck,,1ftsw31f91ea68037,ca,28,177821,white,tan,the car exchange,10800,9100,Wed Jan 07 2015 12:30:00 GMT-0800 (PST),1/7/2015
2000,FORD,EXPEDITION,XLT,SUV,automatic,1fmru1569ylc17177,ca,19,140890,white,beige,mas financial services,1500,1000,Wed Jan 21 2015 04:05:00 GMT-0800 (PST),1/21/2015
1995,FORD,MUSTANG,GT,Coupe,manual,1falp42t0sf248732,ca,2,177751,blue,beige,rancho ford,700,500,Tue Jan 06 2015 13:00:00 GMT-0800 (PST),1/6/2015
1997,FORD,MUSTANG SVT COBRA,Base,Convertible,manual,1falp46v6vf149039,ca,33,102865,red,black,mechanics bank,5750,900,Wed Jan 14 2015 07:00:00 GMT-0800 (PST),1/14/2015
2014,FORD,MUSTANG,GT Premium,Coupe,automatic,1zvbp8cf0e5242555,ca,35,25457,black,black,the hertz corporation,22900,29000,Tue Jan 06 2015 04:30:00 GMT-0800 (PST),1/6/2015
2014,FORD,MUSTANG,GT,Coupe,automatic,1zvbp8cf5e5239621,ca,37,10576,black,black,the hertz corporation,24200,30500,Wed Jan 14 2015 12:30:00 GMT-0800 (PST),1/14/2015
2013,FORD,E-SERIES WAGON,E-350 Super Duty XL,Van,,1fbne3bl7dda99158,ca,26,28813,white,beige,ford motor credit company,18400,17900,Thu Jan 22 2015 04:00:00 GMT-0800 (PST),1/22/2015
2013,FORD,ESCAPE,SEL,SUV,automatic,1fmcu0h93dua29801,ca,2,27641,gray,black,enterprise vehicle exchange / tra / rental / tulsa,17750,13200,Tue Jan 13 2015 12:00:00 GMT-0800 (PST),1/13/2015
2013,FORD,E-SERIES WAGON,E-350 Super Duty XL,Van,,1fbne3bl8dda99038,ca,37,24956,white,gray,ford motor credit company,18800,18700,Thu Jan 22 2015 04:00:00 GMT-0800 (PST),1/22/2015
2013,FORD,EXPLORER,Limited,SUV,automatic,1fm5k8f80dgc02597,ca,33,33318,black,black,avis corporation,27700,28000,Thu Jan 08 2015 11:30:00 GMT-0800 (PST),1/8/2015
2013,FORD,EDGE,SEL,SUV,automatic,2fmdk3jc1dbb82944,ca,38,16386,red,black,ford motor credit company llc pd,23300,22800,Thu Jan 15 2015 04:00:00 GMT-0800 (PST),1/15/2015
2013,FORD,E-SERIES WAGON,E-350 Super Duty XL,Van,,1fbne3bl0dda99373,ca,43,29089,white,gray,ford motor credit company,18350,19200,Thu Jan 29 2015 04:00:00 GMT-0800 (PST),1/29/2015
2013,FORD,E-SERIES WAGON,E-350 Super Duty XL,Van,automatic,1fbne3bl4dda99389,ca,35,23068,white,gray,ford motor credit company,19000,18200,Thu Jan 29 2015 04:00:00 GMT-0800 (PST),1/29/2015
2013,FORD,E-SERIES WAGON,E-350 Super Duty XL,Van,automatic,1fbne3bl8dda99265,ca,3,28461,white,gray,ford motor credit company,18400,19500,Thu Jan 29 2015 04:00:00 GMT-0800 (PST),1/29/2015
2013,FORD,ESCAPE,Titanium,SUV,automatic,1fmcu0j91dub32953,ca,42,83203,black,black,m/r motors inc,16250,15500,Thu Jan 15 2015 04:00:00 GMT-0800 (PST),1/15/2015
2013,FORD,EXPLORER,Limited,SUV,automatic,1fm5k7f87dgc71989,ca,35,38293,red,black,avis corporation,24600,25600,Thu Jan 08 2015 11:30:00 GMT-0800 (PST),1/8/2015
2013,FORD,TAURUS,Limited,Sedan,automatic,1fahp2f80dg185869,ca,37,40379,blue,tan,avis corporation,16600,16300,Tue Jan 13 2015 12:30:00 GMT-0800 (PST),1/13/2015
2013,FORD,FUSION,SE,Sedan,automatic,3fa6p0h78dr311064,ca,19,71109,gray,black,nationwide fleet auto sales inc,11200,5900,Tue Jan 13 2015 12:00:00 GMT-0800 (PST),1/13/2015
2013,FORD,MUSTANG,V6,Convertible,automatic,1zvbp8em3d5214131,ca,43,54967,gray,black,dtg operations inc,12350,11100,Thu Jan 08 2015 11:30:00 GMT-0800 (PST),1/8/2015
2013,FORD,FUSION,SE,Sedan,automatic,3fa6p0h71dr291594,ca,41,17625,white,black,ford motor credit company llc pd,14550,15400,Thu Jan 08 2015 12:00:00 GMT-0800 (PST),1/8/2015
2013,FORD,FOCUS,SE,Hatchback,automatic,1fadp3k23dl272694,ca,19,15824,silver,gray,la auto house,12400,9000,Tue Jan 06 2015 12:30:00 GMT-0800 (PST),1/6/2015
2013,FORD,MUSTANG,V6,Convertible,automatic,1zvbp8em1d5272240,ca,23,64861,red,black,dtg operations inc,12250,9200,Wed Jan 28 2015 04:30:00 GMT-0800 (PST),1/28/2015
2013,FORD,TAURUS,SEL,Sedan,automatic,1fahp2e81dg177295,ca,37,25673,white,black,the hertz corporation,14700,14000,Thu Jan 08 2015 11:30:00 GMT-0800 (PST),1/8/2015
