year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate,sale date
2014,FORD,MUSTANG,V6,Coupe,automatic,1zvbp8am4e5201217,ca,31,32202,silver,beige,avis corporation,18100,17700,Thu Mar 05 2015 04:00:00 GMT-0800 (PST),3/5/2015
2001,FORD,EXPEDITION,XLT,SUV,automatic,1fmpu16l21la48508,ca,27,1,white,gray,auto remarketing resources,1550,400,Tue Mar 24 2015 06:00:00 GMT-0700 (PDT),3/24/2015
2011,FORD,FUSION,SE,Sedan,automatic,3fahp0haxbr243528,ca,28,53441,gray,black,dtg operations inc,9600,9000,Thu Mar 05 2015 04:00:00 GMT-0800 (PST),3/5/2015
2014,FORD,MUSTANG,V6,Convertible,automatic,1zvbp8em1e5265077,ca,36,39433,red,beige,ars/avis budget group,18550,17900,Thu Mar 05 2015 04:30:00 GMT-0800 (PST),3/5/2015
2003,FORD,EXPLORER,XLT,SUV,automatic,1fmdu73w93ua28905,ca,19,100622,brown,black,marios auto wholesale,3000,2000,Wed Mar 04 2015 04:30:00 GMT-0800 (PST),3/4/2015
2009,FORD,ESCAPE HYBRID,Base,SUV,automatic,1fmcu49349kc41613,fl,29,109250,white,gray,wheels exchange llc,8450,8100,Wed Mar 04 2015 01:10:00 GMT-0800 (PST),3/4/2015
2008,FORD,EXPLORER,XLT,SUV,,1fmeu73e88ua46752,nc,39,133049,burgundy,tan,fleet lease remarketing,6075,5400,Mon Mar 02 2015 01:30:00 GMT-0800 (PST),3/2/2015
2007,FORD,ESCAPE,Limited,SUV,,1fmcu94197ka49250,il,26,147795,black,black,hertz remarketing,5125,4300,Thu Mar 05 2015 06:00:00 GMT-0800 (PST),3/5/2015
2007,FORD,FIVE HUNDRED,SEL,Sedan,automatic,1fahp241x7g133773,mi,19,139316,black,beige,modern financial services,3600,2500,Thu Mar 05 2015 01:30:00 GMT-0800 (PST),3/5/2015
2014,FORD,MUSTANG,V6,Coupe,automatic,1zvbp8am6e5292054,sc,2,11148,white,black,enterprise vehicle exchange / tra / rental / tulsa,18650,12900,Thu Mar 05 2015 00:30:00 GMT-0800 (PST),3/5/2015
2006,FORD,F-150,XLT,Truck,automatic,1ftrw14wx6fa68709,tn,19,1,black,gray,westlake financial services,10800,350,Tue Mar 03 2015 02:30:00 GMT-0800 (PST),3/3/2015
2006,FORD,FUSION,SEL,Sedan,automatic,3fafp08146r119686,tx,19,116798,brown,black,improved credit lending,4275,1500,Wed Mar 04 2015 02:00:00 GMT-0800 (PST),3/4/2015
2004,FORD,FOCUS,SVT,Hatchback,manual,3fahp30524r102519,mi,19,104603,silver,black,jeffs motorcars inc,3325,1850,Thu Mar 05 2015 01:30:00 GMT-0800 (PST),3/5/2015
2002,FORD,EXPLORER,XLT,SUV,,1fmdu73e82uc66170,nj,27,123804,green,beige,lester glenn buick,2275,2000,Wed Mar 04 2015 01:30:00 GMT-0800 (PST),3/4/2015
